Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
seminal,sound/seminal.mp3,Adjective,his **seminal** book,开创性的／開創性的,S1 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
veracious,sound/veracious.mp3,Adjective,little **veracious** scientific evidence,真实的／真實的,S3 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
bodacious,sound/bodacious.mp3,Adjective,their seemingly **bodacious** claims,夸大的／夸大的,S3 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
routinely,sound/routinely.mp3,Adverb,being **routinely** taught in thousands of schools,例行地／例行地,S5 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
sciencey,sound/sciencey.mp3,Adjective,in a special **sciencey** way,伪科学的／偽科學的,S5 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
hydrate,sound/hydrate.mp3,Verb,will **hydrate** the brain directly,给…补水／給…補水,S5 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
devote,sound/devote.mp3,Verb,we will **devote** some time to these beliefs,专门用于／專門用於,S6 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
endorse,sound/endorse.mp3,Verb,the fools … who **endorse** them,赞同／贊同,S6 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
absurdities,sound/absurdities.mp3,Noun,a collection of trivial **absurdities**,荒谬的事／荒謬的事,S7 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
credence,sound/credence.mp3,Noun,via the **credence** they are given,信任／信任,S8 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
evils,sound/evils.mp3,Noun,the **evils** of the £300 billion pharmaceutical industry,罪恶／罪惡,S8 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
pervades,sound/pervades.mp3,Verb,that **pervades** our society,弥漫於／彌漫於,S9 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
entitled,sound/entitled.mp3,Adjective,individuals who feel **entitled** to pass judgement,自认为有权的／自認為有權的,S10 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
gaping,sound/gaping.mp3,Adjective,The hole in our culture is **gaping**,巨大的／巨大的,S13 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
bombarded,sound/bombarded.mp3,Verb,we are repeatedly **bombarded** with claims,被轰炸／被轟炸,S15 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
