Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
seminal,vocab/seminal.mp3,Adjective,his **seminal** book,开创性的／開創性的,S1 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
veracious,vocab/veracious.mp3,Adjective,little **veracious** scientific evidence,真实的／真實的,S3 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
bodacious,vocab/bodacious.mp3,Adjective,their seemingly **bodacious** claims,夸大的／夸大的,S3 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
routinely,vocab/routinely.mp3,Adverb,being **routinely** taught in thousands of schools,例行地／例行地,S5 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
sciencey,vocab/sciencey.mp3,Adjective,in a special **sciencey** way,伪科学的／偽科學的,S5 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
hydrate,vocab/hydrate.mp3,Verb,will **hydrate** the brain directly,给…补水／給…補水,S5 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
devote,vocab/devote.mp3,Verb,we will **devote** some time to these beliefs,专门用于／專門用於,S6 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
endorse,vocab/endorse.mp3,Verb,the fools … who **endorse** them,赞同／贊同,S6 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
absurdities,vocab/absurdities.mp3,Noun,a collection of trivial **absurdities**,荒谬的事／荒謬的事,S7 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
credence,vocab/credence.mp3,Noun,via the **credence** they are given,信任／信任,S8 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
evils,vocab/evils.mp3,Noun,the **evils** of the £300 billion pharmaceutical industry,罪恶／罪惡,S8 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
pervades,vocab/pervades.mp3,Verb,that **pervades** our society,弥漫於／彌漫於,S9 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
entitled,vocab/entitled.mp3,Adjective,individuals who feel **entitled** to pass judgement,自认为有权的／自認為有權的,S10 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
gaping,vocab/gaping.mp3,Adjective,The hole in our culture is **gaping**,巨大的／巨大的,S13 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
bombarded,vocab/bombarded.mp3,Verb,we are repeatedly **bombarded** with claims,被轰炸／被轟炸,S15 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
sciencey-vocabing,vocab/sciencey-vocabing.mp3,Adjective,repeatedly **sciencey-vocabing** claims,听起来像科学的／聽起來像科學的,S15 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
witness,vocab/witness.mp3,Verb,bearing reliable **witness** to the evidence,作证／作證,S16 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
patronising,vocab/patronising.mp3,Adjective,you may find going through these steps **patronising**,居高临下的／居高臨下的,S18 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
absurd,vocab/absurd.mp3,Adjective,The examples we look at are certainly **absurd**,荒谬的／荒謬的,S18 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
pseudo-science,vocab/pseudo-science.mp3,Noun,Wikipedia declares it as a **pseudo-science**,伪科学／偽科學,S20 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
intervention,vocab/intervention.mp3,Noun,any **intervention** is more effective,干预／干預,S21 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
nutritionists,vocab/nutritionists.mp3,Noun,therapists claim to be **nutritionists**,营养学家／營養學家,S22 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
grain,vocab/grain.mp3,Noun,have a **grain** of science to them,一点儿／一點兒,S23 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
rhetorical,vocab/rhetorical.mp3,Adjective,the **rhetorical** slights of hand,修辞的／修辭的,S24 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
amateurish,vocab/amateurish.mp3,Adjective,**amateurish** errors,业余水平的／業餘水平的,S24 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
medicalise,vocab/medicalise.mp3,Verb,**medicalise** social problems,医学化／醫學化,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
reductionist,vocab/reductionist.mp3,Adjective,"a **reductionist**, biomedical framework",还原论的／還原論的,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
commodifiable,vocab/commodifiable.mp3,Adjective,**commodifiable** solutions,可商品化的／可商品化的,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
faddish,vocab/faddish.mp3,Adjective,pills and **faddish** diets,赶时髦的／趕時髦的,S25 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
vanguard,vocab/vanguard.mp3,Noun,a **vanguard** of startling wrongness,先锋／先鋒,S26 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
startling,vocab/startling.mp3,Adjective,**startling** wrongness,惊人的／驚人的,S26 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
grotesque,vocab/grotesque.mp3,Adjective,**grotesque** extremes,怪诞的／怪誕的,S28 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
